model,horizon_day,n,actual_units,wape,mape,mape_coverage,mae,rmse,smape,bias
catboost,1,1004,60959.0,0.26426461556215125,0.49641598131281367,0.9970119521912351,16.04512619527209,25.343186629378557,0.29066593223635206,0.0006221301033775292
catboost,2,1004,58327.0,0.2743810354109525,0.6152068971203041,0.9950199203187251,15.940062402803413,24.127318438882803,0.30332912845348614,0.03684261651366134
catboost,3,1004,57659.0,0.2765347499428478,0.551180309236792,0.99800796812749,15.881192377444883,23.839456198123585,0.3125098208828938,0.02500647676680443
catboost,4,1004,61054.0,0.2678461412423952,0.6060193339698646,0.9970119521912351,16.287926601009158,26.88882114458322,0.2873054191147324,-0.0028787169025989473
catboost,5,1004,57747.0,0.2507407305338852,0.4025275162955281,1.0,14.421837615677557,21.03890240884969,0.2712359361879354,0.00107169846584577
catboost,6,1004,70354.0,0.2736931086726837,0.7071554265273384,0.99800796812749,19.178690206731066,28.66332965631326,0.3007784733161242,0.020835486786766708
catboost,7,1004,69487.0,0.2674059352158103,0.5081041916312227,0.9970119521912351,18.507207390777896,27.049256654794437,0.2922368066169143,0.01901756812102051
catboost,8,1004,61309.0,0.26144900191792986,0.414612786537631,0.9950199203187251,15.965315596201554,24.67254074055214,0.28241567875556384,-0.010376744509282889
catboost,9,1004,57397.0,0.28796264647585895,0.5454610022797167,0.99800796812749,16.462342649178165,24.935126402656,0.3102899470046968,0.015810972657412502
catboost,10,1004,61247.0,0.26379895496010797,0.5671263905357605,0.9970119521912351,16.09252449645591,25.450352209454252,0.2848789941445227,-0.008467002611030552
catboost,11,1004,58393.0,0.2601865327523057,0.4647949311297769,0.999003984063745,15.132542038849985,23.064382146765695,0.2790922037336862,0.0346313989824256
catboost,12,1004,61311.0,0.268977197660682,0.4836578536824271,0.99800796812749,16.425558730850675,25.065046619783455,0.28655881666788785,0.01565701077232425
catboost,13,1004,71887.0,0.2628022419748171,0.5809154189093706,0.9970119521912351,18.81679757852956,28.689789478287835,0.28155246252950755,-0.00672449739912174
catboost,14,1004,70113.0,0.27630338245043823,0.45382961134674815,0.9970119521912351,19.295277941979656,29.461842393547123,0.29557519308947466,0.0022384928778190366
tide,1,1004,60959.0,0.2687470046817191,0.4699561636690526,0.9970119521912351,16.317279540231983,25.582917165859943,0.29911032106282015,-0.04723030145925543
tide,2,1004,58327.0,0.27542203658387554,0.6172387415388281,0.9950199203187251,16.00053897193995,24.43790913507126,0.3044354851199366,0.023708830732539116
tide,3,1004,57659.0,0.27942013321108217,0.5395866851996571,0.99800796812749,16.046897869340423,24.017586060483904,0.3154767274684721,-0.01692057691600922
tide,4,1004,61054.0,0.268298816186968,0.579843221316185,0.9970119521912351,16.31545410705094,26.917415730900156,0.2866717778112624,-0.021621511452744463
tide,5,1004,57747.0,0.25607356784147517,0.3915928924172338,1.0,14.728566057910026,21.745969564390865,0.2759349362039039,-0.056061942754440916
tide,6,1004,70354.0,0.2716154504263221,0.7052431662192552,0.99800796812749,19.033100995312218,28.651518826306063,0.29888323696849,0.03754287144033281
tide,7,1004,69487.0,0.27032488468552146,0.5139498025086854,0.9970119521912351,18.70922834874784,27.424910390188952,0.2976169493464768,-0.006598221068307707
tide,8,1004,61309.0,0.26284379589279344,0.41037635321674976,0.9950199203187251,16.050488329074973,25.04460251277145,0.28822504195898474,-0.009437029752158087
tide,9,1004,57397.0,0.28379927626861295,0.5549158209089669,0.99800796812749,16.224329741025475,24.457591755060342,0.30769050948439836,0.027960210144020246
tide,10,1004,61247.0,0.2634812222113497,0.556647758258027,0.9970119521912351,16.07314184938101,25.66960846249217,0.290336647654356,-0.021691669492655077
tide,11,1004,58393.0,0.26249243465908645,0.48945053274265776,0.999003984063745,15.266654120565773,23.303747844723002,0.28076193159771295,0.046784763695828256
tide,12,1004,61311.0,0.2678830163710303,0.4686654254999486,0.99800796812749,16.35874065410781,24.899926936816183,0.28794624226343335,-0.012248187368047765
tide,13,1004,71887.0,0.26142074481176036,0.5837251269305144,0.9970119521912351,18.71788155605878,28.707019109673492,0.2826289528942337,0.009376149688244689
