store_id,sku_id,date,is_holiday,is_weekend,promo_flag
STORE0001,SKU0001,2024-01-01,0,0,0
STORE0001,SKU0001,2024-01-02,0,0,0
STORE0001,SKU0001,2024-01-03,0,0,0
STORE0001,SKU0001,2024-01-04,0,0,0
STORE0001,SKU0001,2024-01-05,0,0,0
STORE0001,SKU0001,2024-01-06,0,1,0
STORE0001,SKU0001,2024-01-07,0,1,0
STORE0001,SKU0001,2024-01-08,0,0,0
STORE0001,SKU0001,2024-01-09,0,0,0
STORE0001,SKU0001,2024-01-10,0,0,0
STORE0001,SKU0001,2024-01-11,0,0,0
STORE0001,SKU0001,2024-01-12,0,0,0
STORE0001,SKU0001,2024-01-13,0,1,0
STORE0001,SKU0001,2024-01-14,0,1,0
STORE0001,SKU0002,2024-01-01,0,0,0
STORE0001,SKU0002,2024-01-02,0,0,0
STORE0001,SKU0002,2024-01-03,0,0,0
STORE0001,SKU0002,2024-01-04,0,0,0
STORE0001,SKU0002,2024-01-05,0,0,0
STORE0001,SKU0002,2024-01-06,0,1,0
STORE0001,SKU0002,2024-01-07,0,1,0
STORE0001,SKU0002,2024-01-08,0,0,0
STORE0001,SKU0002,2024-01-09,0,0,0
STORE0001,SKU0002,2024-01-10,0,0,0
STORE0001,SKU0002,2024-01-11,0,0,0
STORE0001,SKU0002,2024-01-12,0,0,0
STORE0001,SKU0002,2024-01-13,0,1,0
STORE0001,SKU0002,2024-01-14,0,1,0
STORE0001,SKU0004,2024-01-01,0,0,0
STORE0001,SKU0004,2024-01-02,0,0,0
STORE0001,SKU0004,2024-01-03,0,0,0
STORE0001,SKU0004,2024-01-04,0,0,0
STORE0001,SKU0004,2024-01-05,0,0,0
STORE0001,SKU0004,2024-01-06,0,1,0
STORE0001,SKU0004,2024-01-07,0,1,0
STORE0001,SKU0004,2024-01-08,0,0,0
STORE0001,SKU0004,2024-01-09,0,0,0
STORE0001,SKU0004,2024-01-10,0,0,0
STORE0001,SKU0004,2024-01-11,0,0,0
STORE0001,SKU0004,2024-01-12,0,0,0
STORE0001,SKU0004,2024-01-13,0,1,0
STORE0001,SKU0004,2024-01-14,0,1,0
STORE0001,SKU0006,2024-01-01,0,0,0
STORE0001,SKU0006,2024-01-02,0,0,0
STORE0001,SKU0006,2024-01-03,0,0,0
STORE0001,SKU0006,2024-01-04,0,0,0
STORE0001,SKU0006,2024-01-05,0,0,0
STORE0001,SKU0006,2024-01-06,0,1,0
STORE0001,SKU0006,2024-01-07,0,1,0
STORE0001,SKU0006,2024-01-08,0,0,0
STORE0001,SKU0006,2024-01-09,0,0,0
STORE0001,SKU0006,2024-01-10,0,0,0
STORE0001,SKU0006,2024-01-11,0,0,0
STORE0001,SKU0006,2024-01-12,0,0,0
STORE0001,SKU0006,2024-01-13,0,1,0
STORE0001,SKU0006,2024-01-14,0,1,0
STORE0001,SKU0007,2024-01-01,0,0,0
STORE0001,SKU0007,2024-01-02,0,0,0
STORE0001,SKU0007,2024-01-03,0,0,0
STORE0001,SKU0007,2024-01-04,0,0,0
STORE0001,SKU0007,2024-01-05,0,0,0
STORE0001,SKU0007,2024-01-06,0,1,0
STORE0001,SKU0007,2024-01-07,0,1,0
STORE0001,SKU0007,2024-01-08,0,0,0
STORE0001,SKU0007,2024-01-09,0,0,0
STORE0001,SKU0007,2024-01-10,0,0,0
STORE0001,SKU0007,2024-01-11,0,0,0
STORE0001,SKU0007,2024-01-12,0,0,0
STORE0001,SKU0007,2024-01-13,0,1,0
STORE0001,SKU0007,2024-01-14,0,1,0
STORE0001,SKU0008,2024-01-01,0,0,0
STORE0001,SKU0008,2024-01-02,0,0,0
STORE0001,SKU0008,2024-01-03,0,0,0
STORE0001,SKU0008,2024-01-04,0,0,0
STORE0001,SKU0008,2024-01-05,0,0,0
STORE0001,SKU0008,2024-01-06,0,1,0
STORE0001,SKU0008,2024-01-07,0,1,0
STORE0001,SKU0008,2024-01-08,0,0,0
STORE0001,SKU0008,2024-01-09,0,0,0
STORE0001,SKU0008,2024-01-10,0,0,0
STORE0001,SKU0008,2024-01-11,0,0,0
STORE0001,SKU0008,2024-01-12,0,0,0
STORE0001,SKU0008,2024-01-13,0,1,0
STORE0001,SKU0008,2024-01-14,0,1,0
STORE0001,SKU0010,2024-01-01,0,0,0
STORE0001,SKU0010,2024-01-02,0,0,0
STORE0001,SKU0010,2024-01-03,0,0,0
STORE0001,SKU0010,2024-01-04,0,0,0
STORE0001,SKU0010,2024-01-05,0,0,0
STORE0001,SKU0010,2024-01-06,0,1,0
STORE0001,SKU0010,2024-01-07,0,1,0
STORE0001,SKU0010,2024-01-08,0,0,0
STORE0001,SKU0010,2024-01-09,0,0,0
STORE0001,SKU0010,2024-01-10,0,0,0
STORE0001,SKU0010,2024-01-11,0,0,0
STORE0001,SKU0010,2024-01-12,0,0,0
STORE0001,SKU0010,2024-01-13,0,1,0
STORE0001,SKU0010,2024-01-14,0,1,0
STORE0001,SKU0011,2024-01-01,0,0,0
STORE0001,SKU0011,2024-01-02,0,0,0
STORE0001,SKU0011,2024-01-03,0,0,0
STORE0001,SKU0011,2024-01-04,0,0,0
STORE0001,SKU0011,2024-01-05,0,0,0
STORE0001,SKU0011,2024-01-06,0,1,0
STORE0001,SKU0011,2024-01-07,0,1,0
STORE0001,SKU0011,2024-01-08,0,0,0
