date,store_id,sku_id,prediction,model
2024-01-01,STORE0001,SKU0001,100.09575386661729,catboost
2024-01-02,STORE0001,SKU0001,101.90537633370808,catboost
2024-01-03,STORE0001,SKU0001,102.10480885895683,catboost
2024-01-04,STORE0001,SKU0001,102.40530003533587,catboost
2024-01-05,STORE0001,SKU0001,101.24015354671671,catboost
2024-01-06,STORE0001,SKU0001,119.88414501359983,catboost
2024-01-07,STORE0001,SKU0001,117.54750576886238,catboost
2024-01-08,STORE0001,SKU0001,97.39817328726056,catboost
2024-01-09,STORE0001,SKU0001,98.66021942079031,catboost
2024-01-10,STORE0001,SKU0001,97.33554778908103,catboost
2024-01-11,STORE0001,SKU0001,98.68891960686973,catboost
2024-01-12,STORE0001,SKU0001,97.57338756331237,catboost
2024-01-13,STORE0001,SKU0001,115.22048442185613,catboost
2024-01-14,STORE0001,SKU0001,115.76371730295756,catboost
2024-01-01,STORE0001,SKU0002,69.57345267411998,catboost
2024-01-02,STORE0001,SKU0002,68.46042657930612,catboost
2024-01-03,STORE0001,SKU0002,68.37847085696143,catboost
2024-01-04,STORE0001,SKU0002,68.14578497286055,catboost
2024-01-05,STORE0001,SKU0002,68.02103019754036,catboost
2024-01-06,STORE0001,SKU0002,81.4165774947778,catboost
2024-01-07,STORE0001,SKU0002,83.20307093166437,catboost
2024-01-08,STORE0001,SKU0002,67.20549943610597,catboost
2024-01-09,STORE0001,SKU0002,66.21380678875323,catboost
2024-01-10,STORE0001,SKU0002,65.79805781832435,catboost
2024-01-11,STORE0001,SKU0002,66.11159556995355,catboost
2024-01-12,STORE0001,SKU0002,65.97124213426343,catboost
2024-01-13,STORE0001,SKU0002,79.93480162100471,catboost
2024-01-14,STORE0001,SKU0002,81.39679490179428,catboost
2024-01-01,STORE0001,SKU0004,97.80485413981529,catboost
2024-01-02,STORE0001,SKU0004,97.41819622990297,catboost
2024-01-03,STORE0001,SKU0004,97.920864513733,catboost
2024-01-04,STORE0001,SKU0004,98.51211127190702,catboost
